time,open,high,low,close,tick_volume,spread,real_volume
2024-08-13 23:15:00,1.09941,1.09974,1.0994,1.0997,189,25,0
2024-08-13 23:30:00,1.0997,1.09972,1.09949,1.09962,138,25,0
2024-08-13 23:45:00,1.09961,1.0996299999999999,1.09912,1.09916,461,25,0
2024-08-14 00:00:00,1.09916,1.09916,1.09812,1.09906,89,25,0
2024-08-14 00:15:00,1.09897,1.09906,1.09886,1.09886,48,36,0
2024-08-14 00:30:00,1.09891,1.09909,1.09885,1.09898,610,29,0
2024-08-14 00:45:00,1.09898,1.09908,1.09892,1.09908,112,25,0
2024-08-14 01:00:00,1.09912,1.09944,1.09912,1.09929,196,25,0
2024-08-14 01:15:00,1.09929,1.09935,1.09914,1.09934,159,15,0
2024-08-14 01:30:00,1.09933,1.09964,1.0993,1.09962,189,15,0
2024-08-14 01:45:00,1.0996,1.09962,1.09954,1.09956,130,16,0
2024-08-14 02:00:00,1.09957,1.09973,1.09955,1.09965,179,15,0
2024-08-14 02:15:00,1.09966,1.0997,1.09951,1.09954,140,15,0
2024-08-14 02:30:00,1.09952,1.09961,1.09948,1.09952,276,15,0
2024-08-14 02:45:00,1.09952,1.09958,1.09933,1.09949,287,15,0
2024-08-14 03:00:00,1.09949,1.0996299999999999,1.09932,1.09946,375,15,0
2024-08-14 03:15:00,1.09945,1.09955,1.09932,1.09941,290,15,0
2024-08-14 03:30:00,1.0994,1.09945,1.09914,1.09914,231,15,0
2024-08-14 03:45:00,1.09914,1.09953,1.09909,1.09911,353,15,0
2024-08-14 04:00:00,1.09912,1.09915,1.09896,1.09911,281,15,0
2024-08-14 04:15:00,1.0991,1.09957,1.0991,1.09954,424,15,0
2024-08-14 04:30:00,1.09955,1.09955,1.09921,1.09946,317,15,0
2024-08-14 04:45:00,1.09947,1.09948,1.09903,1.09903,236,15,0
2024-08-14 05:00:00,1.0990199999999999,1.09923,1.0989,1.09903,681,15,0
2024-08-14 05:15:00,1.09903,1.09911,1.09892,1.09906,343,15,0
2024-08-14 05:30:00,1.09907,1.09932,1.0990199999999999,1.09912,396,15,0
2024-08-14 05:45:00,1.09912,1.09925,1.09903,1.09906,296,15,0
2024-08-14 06:00:00,1.09907,1.09908,1.09891,1.09905,400,15,0
2024-08-14 06:15:00,1.09905,1.09906,1.09887,1.0989,321,15,0
2024-08-14 06:30:00,1.0989,1.09901,1.09885,1.09892,284,15,0
2024-08-14 06:45:00,1.09893,1.09901,1.09879,1.09891,252,15,0
2024-08-14 07:00:00,1.09888,1.0990199999999999,1.09887,1.099,267,15,0
2024-08-14 07:15:00,1.09901,1.0991900000000001,1.099,1.09911,218,15,0
2024-08-14 07:30:00,1.09911,1.09912,1.09905,1.0991,154,15,0
2024-08-14 07:45:00,1.0991,1.09923,1.09907,1.0992,144,15,0
2024-08-14 08:00:00,1.09921,1.09937,1.09921,1.09935,180,15,0
2024-08-14 08:15:00,1.09934,1.09939,1.09909,1.0991900000000001,266,15,0
2024-08-14 08:30:00,1.0991900000000001,1.0992,1.09896,1.0990199999999999,259,15,0
2024-08-14 08:45:00,1.09905,1.09907,1.09887,1.09896,270,15,0
2024-08-14 09:00:00,1.09896,1.09903,1.09855,1.09892,939,15,0
2024-08-14 09:15:00,1.09897,1.0991,1.09876,1.09907,498,15,0
2024-08-14 09:30:00,1.09907,1.0995,1.09887,1.09916,464,15,0
2024-08-14 09:45:00,1.09913,1.09951,1.0991,1.09941,380,15,0
2024-08-14 10:00:00,1.0994,1.10021,1.0994,1.1002,703,15,0
2024-08-14 10:15:00,1.1002,1.10041,1.09997,1.10004,680,15,0
2024-08-14 10:30:00,1.10004,1.10055,1.09997,1.10034,827,50,0
2024-08-14 10:45:00,1.10033,1.1007,1.10032,1.10048,730,50,0
2024-08-14 11:00:00,1.10049,1.10069,1.10016,1.10053,1059,50,0
2024-08-14 11:15:00,1.10053,1.10093,1.10051,1.10074,1142,16,0
2024-08-14 11:30:00,1.10073,1.10092,1.10067,1.10089,575,16,0
2024-08-14 11:45:00,1.1009,1.10191,1.10086,1.10184,819,15,0
2024-08-14 12:00:00,1.10184,1.10224,1.10144,1.1021,832,15,0
2024-08-14 12:15:00,1.10213,1.10256,1.10191,1.10246,587,15,0
2024-08-14 12:30:00,1.10245,1.10277,1.10238,1.10269,550,16,0
2024-08-14 12:45:00,1.10269,1.10276,1.10243,1.10248,435,16,0
2024-08-14 13:00:00,1.10249,1.10249,1.10192,1.10202,719,15,0
2024-08-14 13:15:00,1.10202,1.10229,1.10191,1.10212,494,16,0
2024-08-14 13:30:00,1.10213,1.10218,1.10172,1.10189,594,15,0
2024-08-14 13:45:00,1.10188,1.10237,1.10186,1.1021,1075,15,0
2024-08-14 14:00:00,1.10211,1.10225,1.10191,1.1021,640,16,0
2024-08-14 14:15:00,1.10209,1.10234,1.10205,1.10215,510,16,0
2024-08-14 14:30:00,1.10214,1.10243,1.10214,1.10226,435,15,0
2024-08-14 14:45:00,1.10225,1.10233,1.10198,1.10216,602,15,0
2024-08-14 15:00:00,1.10221,1.10243,1.10182,1.10184,839,15,0
2024-08-14 15:15:00,1.10183,1.10271,1.10166,1.10221,1153,15,0
2024-08-14 15:30:00,1.10221,1.10346,1.10033,1.10183,3733,15,0
2024-08-14 15:45:00,1.1018,1.10222,1.1011,1.1016,2224,15,0
2024-08-14 16:00:00,1.10159,1.10412,1.10155,1.10294,1995,15,0
2024-08-14 16:15:00,1.10295,1.10302,1.1021,1.10213,1182,15,0
