close_days,sl_perc,tp_perc,buy_threshold,sell_threshold,Return [%]
2,0.007,0.008,0.001,0.001,-1.1225564545164086
2,0.007,0.005,0.001,0.001,-1.1225564545164086
2,0.007,0.007,0.001,0.001,-1.1225564545164086
2,0.007,0.002,0.001,0.001,-1.1225564545164086
2,0.007,0.006,0.001,0.001,-1.1225564545164086
2,0.007,0.003,0.001,0.001,-1.1225564545164086
2,0.005,0.007,0.001,0.003,-1.108103369247014
2,0.005,0.003,0.001,0.003,-1.108103369247014
2,0.005,0.005,0.001,0.003,-1.108103369247014
2,0.005,0.006,0.001,0.003,-1.108103369247014
2,0.005,0.001,0.001,0.003,-1.108103369247014
2,0.005,0.008,0.001,0.003,-1.108103369247014
2,0.005,0.004,0.001,0.003,-1.108103369247014
2,0.005,0.002,0.001,0.003,-1.108103369247014
2,0.007,0.005,0.001,0.003,-1.0634848950605071
2,0.007,0.003,0.001,0.003,-1.0634848950605071
2,0.007,0.008,0.001,0.003,-1.0634848950605071
2,0.007,0.006,0.001,0.003,-1.0634848950605071
2,0.007,0.004,0.001,0.003,-1.0634848950605071
2,0.007,0.002,0.001,0.003,-1.0634848950605071
2,0.007,0.001,0.001,0.003,-1.0634848950605071
